,modified_Carapungo,modified_SanAntonio,modified_Tumbaco,modified_Guamani,modified_Cotocollao,modified_Belisario,modified_Centro,modified_LosChillos,modified_ElCamal,Method,Frequency,AOD_Filter,Max_Belisario,Max_Carapungo,Max_Centro,Max_Cotocollao,Max_ElCamal,Max_Guamani,Max_LosChillos,Max_SanAntonio,Max_Tumbaco
TMP,,,,,,,,,,max,annual,AllAOD,0.2636212522428375,0.2920795624801405,-0.2532585847918969,0.7283831986970378,0.4971690706776915,-0.4657664528482731,-0.5878827480904497,0.2056669842743778,0.0018966695919268
VEL,,,,,,,,,,max,annual,AllAOD,0.4458490043810459,0.1057842167092742,0.3388487321713244,0.7042693265726776,0.4942449534634572,0.7747828104607981,0.6338030500442641,0.7726893185260685,0.9761324007700296
CO,,,,,,,,,,max,annual,AllAOD,0.4285774444269251,0.1964432025266925,0.5236172310418609,0.6631941215794879,0.3925521364304489,0.2316980491633739,0.7524074662148906,,0.7397939226563977
DIR,,,,,,,,,,max,annual,AllAOD,0.4413772440053232,0.2671653439795801,0.7425552799074792,0.6851170805569045,0.369744730324423,0.6368723320079817,0.2673539761424837,0.3218560037112835,0.8187557567395233
HUM,,,,,,,,,,max,annual,AllAOD,-0.0586460872579346,0.6047050407773873,0.3388921803393811,-0.0268156991744168,0.8327787031565341,0.3076828658187454,0.1926014372785324,0.4023742769816559,0.9831297086230232
LLU,,,,,,,,,,max,annual,AllAOD,0.5520059202941425,0.1946696671788737,0.3659378623428828,0.4907469021323754,-0.1072098037747348,0.3758089344983963,0.6979841261443211,0.47563580405846,0.8382948786855856
NO2,0.0145583369945791,,-0.796886504190775,-0.2029989917107252,-0.2030432444377676,-0.0462085562703065,-0.400957700728087,-0.7423364178247095,0.0791853423294404,mean,annual,NoZeroAOD,,,,,,,,,
O3,0.0341842818076362,0.3420153096378371,0.0522363624638959,0.6985774529831569,-0.172233459970249,0.0336470194772523,-0.2407996682317747,0.1003409247088904,0.4293276090587397,mean,annual,NoZeroAOD,,,,,,,,,
PM25,-0.0861388270833771,-0.9551057451062732,-0.4795808235399161,-0.2719347175515763,0.1669899331761645,-0.2400133427189547,-0.1651982469832246,-0.6717088733272415,-0.0317556990184138,mean,annual,NoZeroAOD,,,,,,,,,
PRE,0.0283626078145611,-0.7104878697128574,-0.6830661038391908,0.4946205863352649,-0.1314150144896956,-0.0690222125448177,-0.5081032102071901,0.2876756535388524,-0.2586677878685393,mean,annual,NoZeroAOD,,,,,,,,,
RS,-0.2504724375526862,0.3252688207975926,-0.0183968730704624,-0.3899354879128597,0.3268696176047937,-0.3172417298907161,-0.8904634700170835,0.1160929362012888,-0.2041884576813868,mean,annual,NoZeroAOD,,,,,,,,,
SO2,0.1009415305740082,-0.630872533847815,,-0.4977150703508182,0.2579211145043472,0.1516716692764016,-0.1034020574712257,-0.3704737467076129,-0.1507184049789581,mean,annual,NoZeroAOD,,,,,,,,,
TMP,0.0134229475677773,0.3106030291260507,0.1669657532526676,-0.1861472543055726,-0.1495080446655447,-0.2266007478269205,-0.0387787701926318,0.474468614991041,0.0750696977509674,mean,annual,NoZeroAOD,,,,,,,,,
VEL,-0.1371610908989042,0.7629471890796461,0.5758767735532346,-0.0696972165632905,-0.082526580657115,0.280281690698255,0.0127060761936373,-0.0960368030137589,0.0469617561012726,mean,annual,NoZeroAOD,,,,,,,,,
CO,-0.2995159226433594,,-0.303095715960346,-0.2268280813397187,0.2884761762075474,0.2079455284140198,0.4168019206364945,-0.3013874013368424,-0.1455384983717184,mean,annual,NoZeroAOD,,,,,,,,,
DIR,-0.0091597628811171,-0.6003923446628371,-0.1877364944027803,-0.0374178463665436,0.2788459288694189,-0.0582478670216276,0.2158323970318245,0.2724050431177477,-0.0463339421371204,mean,annual,NoZeroAOD,,,,,,,,,
HUM,0.1794757820192744,0.1771314956186158,-0.5247330090601185,0.0566951062025071,-0.2566686708115802,0.2884609379860082,-0.5926357316862818,0.0955551594713,-0.1912406538623946,mean,annual,NoZeroAOD,,,,,,,,,
LLU,0.2045061017652749,0.8402758292117307,0.2055890370781151,-0.2752680975705098,0.2053635772626554,0.5310539964748792,0.3400208925819242,-0.2335596585554321,-0.0461349548974102,mean,annual,NoZeroAOD,,,,,,,,,
